SVO Trunk: 
Compressed:
[ChildDescriptor childPointer: 1, validMask: 11111111, nonLeafMask: 11111111]
[ChildDescriptor childPointer: 8, validMask: 10000000, nonLeafMask: 10000000]
[ChildDescriptor childPointer: 8, validMask: 11000000, nonLeafMask: 11000000]
[ChildDescriptor childPointer: 9, validMask: 10100000, nonLeafMask: 10100000]
[ChildDescriptor childPointer: 10, validMask: 11110000, nonLeafMask: 11110000]
[ChildDescriptor childPointer: 13, validMask: 10001000, nonLeafMask: 10001000]
[ChildDescriptor childPointer: 14, validMask: 11001100, nonLeafMask: 11001100]
[ChildDescriptor childPointer: 17, validMask: 10101010, nonLeafMask: 10101010]
[ChildDescriptor childPointer: 20, validMask: 11111111, nonLeafMask: 11111111]
[ChildDescriptor childPointer: 0, validMask: 10000000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11000000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11000000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10100000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10100000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11110000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11110000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11110000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11110000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10001000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10001000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11001100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11001100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11001100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11001100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10101010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10101010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10101010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10101010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 8, validMask: 11111111, nonLeafMask: 11110000]
[ChildDescriptor childPointer: 0, validMask: 11111111, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111111, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111111, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111111, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111111, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111111, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111111, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111111, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111111, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111111, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111111, nonLeafMask: 00000000]

