[SliceTest] Result:
[ChildDescriptor childPointer: 1, validMask: 11111111, nonLeafMask: 11111111]
[ChildDescriptor childPointer: 65, validMask: 00000010, nonLeafMask: 00000010]
[ChildDescriptor childPointer: 66, validMask: 00000110, nonLeafMask: 00000110]
[ChildDescriptor childPointer: 70, validMask: 00001010, nonLeafMask: 00001010]
[ChildDescriptor childPointer: 74, validMask: 00011100, nonLeafMask: 00011100]
[ChildDescriptor childPointer: 86, validMask: 00100010, nonLeafMask: 00100010]
[ChildDescriptor childPointer: 90, validMask: 01100100, nonLeafMask: 01100100]
[ChildDescriptor childPointer: 102, validMask: 10101000, nonLeafMask: 10101000]
[ChildDescriptor childPointer: 114, validMask: 11010000, nonLeafMask: 11010000]
[ChildDescriptor childPointer: 0, validMask: 00000010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00000110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00001010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00100010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01100100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10101000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00000010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00000110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00001010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00100010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01100100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10101000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00000010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00000110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00001010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00100010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01100100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10101000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00000010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00000110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00001010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00100010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01100100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10101000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00000010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00000110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00001010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00100010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01100100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10101000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00000010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00000110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00001010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00100010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01100100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10101000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00000010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00000110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00001010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00100010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01100100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10101000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11110110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11110110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 138, validMask: 11110110, nonLeafMask: 11110110]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11110110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11110110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11011110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11011110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 162, validMask: 11111100, nonLeafMask: 11111100]
[ChildDescriptor childPointer: 0, validMask: 11111010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 186, validMask: 11011110, nonLeafMask: 11011110]
[ChildDescriptor childPointer: 0, validMask: 10111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11011110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11011110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 210, validMask: 11111100, nonLeafMask: 11111100]
[ChildDescriptor childPointer: 234, validMask: 11110110, nonLeafMask: 11110110]
[ChildDescriptor childPointer: 258, validMask: 11011110, nonLeafMask: 11011110]
[ChildDescriptor childPointer: 0, validMask: 01111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11110110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11011110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11110110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11011110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 282, validMask: 11111100, nonLeafMask: 11111100]
[ChildDescriptor childPointer: 318, validMask: 11111010, nonLeafMask: 11111010]
[ChildDescriptor childPointer: 0, validMask: 11110110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11011110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11110110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11011110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11110110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11011110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 00000010, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10111110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 342, validMask: 11110000, nonLeafMask: 11110000]
